n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
2,12,0.5,0.9635302698760029,0.5516649659668956,0.6733110734876405
2,12,0.55,0.9638949671772429,0.5502337029011263,0.677229477
2,12,0.6,0.9638949671772429,0.5518541449301949,0.6479020668704109
2,13,0.1,0.9636518356430829,0.5533484676503972,0.6509416696073274
2,13,0.15,0.9640165329443229,0.5567785306718337,0.6463674029571369
2,13,0.2,0.9635302698760029,0.5532854079959642,0.6565374177305064
2,13,0.25,0.9641380987114029,0.5568415903262668,0.661681981
2,13,0.3,0.9636518356430829,0.5468666995341229,0.6681408187903333
2,13,0.35,0.9635302698760029,0.5532854079959642,0.6684317
2,13,0.4,0.9636518356430829,0.5468666995341229,0.6582763354739646
2,13,0.45,0.9638949671772429,0.5518541449301949,0.6585260262268713
2,13,0.5,0.9636518356430829,0.5533484676503972,0.668848488
2,13,0.55,0.9637734014101629,0.5501706432466932,0.6620098067317136
2,13,0.6,0.9638949671772429,0.5486132608720578,0.6861752429919916
2,14,0.1,0.9638949671772429,0.5583359130464692,0.6614070243783954
2,14,0.15,0.963044007,0.5514127273491632,0.6738533440513513
2,14,0.2,0.9640165329443229,0.5583989727009023,0.6719876700328208
2,14,0.25,0.9641380987114029,0.5568415903262668,0.6611072256172522
2,14,0.3,0.9640165329443229,0.5616398567590395,0.6603258804040744
2,14,0.35,0.9634087041089229,0.5516019063124625,0.6714655700656458
2,14,0.4,0.9640165329443229,0.5502967625555594,0.6575472214897111
2,14,0.45,0.9637734014101629,0.5485502012176247,0.6529266686285226
2,14,0.5,0.9640165329443229,0.5486763205264908,0.6701343106942805
2,14,0.55,0.9638949671772429,0.5502337029011263,0.6744739614584487
2,14,0.6,0.9636518356430829,0.5484871415631916,0.6579279149590664
3,2,0.1,0.9612205203014831,0.5261602020966379,0.5847886949539113
3,2,0.15,0.9600048626306832,0.5401135838139244,0.6126502337878299
3,2,0.2,0.9566010211524435,0.5318661453735234,0.6116482859451707
3,2,0.25,0.9592754680282033,0.54297611,0.6399920081973304
3,2,0.3,0.9608558230002431,0.5373141173368188,0.629881868
3,2,0.35,0.9606126914660832,0.5388084400570212,0.6313950876316875
3,2,0.4,0.9604911256990032,0.5419862644607253,0.6496516007173089
3,2,0.45,0.9606126914660832,0.5469106502023642,0.6465527601231977
3,2,0.5,0.9614636518356431,0.5441111837252586,0.6354026666802554
3,2,0.55,0.9612205203014831,0.5358828542710495,0.6277032314994226
3,2,0.6,0.963165573,0.5466144609163905,0.6564529135471247
3,3,0.1,0.9609773887673231,0.5341362929331147,0.6167040990473958
3,3,0.15,0.9610989545344031,0.5423015627328908,0.6104915553143576
3,3,0.2,0.9596401653294432,0.5415448468796936,0.638047138
3,3,0.25,0.9614636518356431,0.5473520677833958,0.6403775850742681
3,3,0.3,0.962800875,0.5480457239821599,0.6381290943656942
3,3,0.35,0.9619499149039631,0.5459838643720596,0.6248109802782523
3,3,0.4,0.9619499149039631,0.5427429803139224,0.6239360010327346
3,3,0.45,0.9592754680282033,0.5348739,0.6187990809002286
3,3,0.5,0.9615852176027231,0.539312917,0.6361755190106811
3,3,0.55,0.962193046,0.5477304257099944,0.6285773614566652
