n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
2,2,0.1,0.9595185995623632,0.5155547147601631,0.5878427355915059
2,2,0.15,0.9587892049598833,0.5167967988626331,0.5724517211463863
2,2,0.2,0.9586676391928033,0.5134928551500628,0.5699783813669549
2,2,0.25,0.9585460734257233,0.5150502375246984,0.5674748918537543
2,2,0.3,0.9613420860685631,0.5148801675475909,0.5719512780302287
2,2,0.35,0.962800875,0.5091551152845136,0.541246534
2,2,0.4,0.9618283491368831,0.5151324061653233,0.5649990042094973
2,2,0.45,0.9618283491368831,0.5151324061653233,0.5642900608217798
2,2,0.5,0.9615852176027231,0.5150062868564571,0.5608300603886427
2,2,0.55,0.9612205203014831,0.5148171078931578,0.5591977283237215
2,2,0.6,0.9598832968636032,0.5157438937234624,0.5771597506999198
2,3,0.1,0.9637734014101629,0.5145209186071842,0.5232879091499346
2,3,0.15,0.9637734014101629,0.5145209186071842,0.5233726256553851
2,3,0.2,0.9637734014101629,0.5161413606362528,0.5204948123348931
2,3,0.25,0.963287138,0.5158891220185204,0.5314429874904084
2,3,0.3,0.9609773887673231,0.5276545248168404,0.558495155
2,3,0.35,0.9606126914660832,0.5209835777372667,0.5775374716603119
2,3,0.4,0.9609773887673231,0.5276545248168404,0.6307549365942606
2,3,0.45,0.9598832968636032,0.5206052198106681,0.5657979721543853
2,3,0.5,0.9620714806710431,0.5249811776486011,0.5876516457295874
2,3,0.55,0.963287138,0.509407354,0.5142742003632406
2,3,0.6,0.962193046,0.5169420271576912,0.5755261447025855
2,4,0.1,0.9592754680282033,0.5202899215385026,0.5928633032303106
2,4,0.15,0.9591539022611233,0.5218473039131382,0.6035951221977203
2,4,0.2,0.9619499149039631,0.524918118,0.6158550230942714
2,4,0.25,0.9619499149039631,0.5265385600232365,0.5728848581667348
2,4,0.3,0.9593970337952833,0.523593865,0.582379476
2,4,0.35,0.9613420860685631,0.5294641458092082,0.5824926441019266
2,4,0.4,0.9596401653294432,0.5220995425308705,0.567415229
2,4,0.45,0.9597617310965232,0.5221626021853036,0.6023736333359235
2,4,0.5,0.9590323364940433,0.5201638022296364,0.5615167099591365
2,4,0.55,0.9591539022611233,0.5234677459422068,0.5651525130652384
2,4,0.6,0.9602479941648432,0.5126921886286245,0.5829990322360105
2,5,0.1,0.96267931,0.5139533817172864,0.5618916707326344
2,5,0.15,0.9613420860685631,0.5181210516057281,0.5573157055058934
2,5,0.2,0.9567225869195235,0.5222065528535449,0.589614351
2,5,0.25,0.9589107707269633,0.5217211846042721,0.6025031497978907
2,5,0.3,0.9598832968636032,0.5206052198106681,0.5739606940893358
2,5,0.35,0.9603695599319232,0.5208574584284005,0.6082642968126636
2,5,0.4,0.9612205203014831,0.5212988760094321,0.6147456402848004
2,5,0.45,0.9595185995623632,0.5171751567892316,0.5533680012807267
2,5,0.5,0.9592754680282033,0.5170490374803655,0.5609929114154111
2,5,0.55,0.9600048626306832,0.517427395,0.5777379036932574
2,5,0.6,0.9614636518356431,0.5214249953182983,0.5974118789101763
2,6,0.1,0.9642596644784829,0.5196344833121224,0.5520437485376318
2,6,0.15,0.962922441,0.504356849,0.5142058326570876
2,6,0.2,0.962922441,0.504356849,0.5142669814129015
2,6,0.25,0.962922441,0.504356849,0.5142992543673588
2,6,0.3,0.962922441,0.504356849,0.5141215407957747
2,6,0.35,0.962922441,0.504356849,0.5144544617996504
2,6,0.4,0.9591539022611233,0.51860642,0.6075307240649653
2,6,0.45,0.9634087041089229,0.5321566019636395,0.5949769694251974
2,6,0.5,0.9615852176027231,0.5198676129436629,0.6044061925005297
2,6,0.55,0.9635302698760029,0.5241174514727296,0.6163136387628757
2,6,0.6,0.9591539022611233,0.5137450937677952,0.5563957139817904
2,7,0.1,0.96267931,0.5139533817172864,0.5618759588995431
2,7,0.15,0.9618283491368831,0.5054097539909118,0.503558943
2,7,0.2,0.962193046,0.5104602590414168,0.5429143242234427
2,7,0.25,0.9612205203014831,0.5212988760094321,0.5645348681671043
2,7,0.3,0.9598832968636032,0.5108825676362566,0.5641225387094979
2,7,0.35,0.9617067833698031,0.5166897885399588,0.5788024865462121
2,7,0.4,0.9592754680282033,0.5235308055966399,0.5721039375976946
2,7,0.45,0.9579382445903234,0.517975823,0.5490852528309963
2,7,0.5,0.9613420860685631,0.5051575153731794,0.5369983944205158
2,7,0.55,0.9608558230002431,0.5259710231333387,0.6170506086636747
2,7,0.6,0.9618283491368831,0.5199937322525291,0.5737723644143117
2,8,0.1,0.9598832968636032,0.5173643357525309,0.6137793625496993
2,8,0.15,0.9583029418915633,0.519785444,0.593257373
2,8,0.2,0.9609773887673231,0.5292749668459089,0.6127988592359888
2,8,0.25,0.962436178,0.530031683,0.5855093160554126
2,8,0.3,0.9646243617797229,0.5441302927114505,0.6637839699385923
2,8,0.35,0.9642596644784829,0.5455615557772198,0.6514552766917503
2,8,0.4,0.9646243617797229,0.5489916187986563,0.6518438260776513
2,8,0.45,0.9642596644784829,0.5439411137481512,0.6624187390362191
2,8,0.5,0.9646243617797229,0.5441302927114505,0.6620919753723385
2,8,0.55,0.9642596644784829,0.5439411137481512,0.6403690921915162
2,8,0.6,0.9640165329443229,0.5373332263230107,0.659240915
2,9,0.1,0.9637734014101629,0.546929759,0.6709725582218962
2,9,0.15,0.9637734014101629,0.546929759,0.656210442
2,9,0.2,0.9636518356430829,0.5468666995341229,0.6650016370031504
2,9,0.25,0.9638949671772429,0.5453723768139205,0.6477600234063848
2,9,0.3,0.9646243617797229,0.5522325028567935,0.6532612882089487
2,9,0.35,0.9642596644784829,0.5504228818644256,0.6558658430268974
2,9,0.4,0.9641380987114029,0.5487393801809239,0.6625361531402647
2,9,0.45,0.9641380987114029,0.5487393801809239,0.6592453733959599
2,9,0.5,0.9642596644784829,0.5439411137481512,0.6402826771095153
2,9,0.55,0.9649890590809628,0.547560356,0.6436067914186214
2,9,0.6,0.963044007,0.5335878650294087,0.6566342365938785
2,10,0.1,0.9638949671772429,0.535649725,0.670691656
2,10,0.15,0.9642596644784829,0.54880244,0.6745325623494371
2,10,0.2,0.9641380987114029,0.5357758439483752,0.6665700601253635
2,10,0.25,0.963165573,0.5287895985966361,0.6623096054928569
2,10,0.3,0.963165573,0.5401326928001162,0.6567773416682485
2,10,0.35,0.963044007,0.5352083070584773,0.640072478
2,10,0.4,0.9634087041089229,0.5321566019636395,0.6487687655552455
2,10,0.45,0.9640165329443229,0.5389536683520793,0.6477814679353335
2,10,0.5,0.9636518356430829,0.5274213951852998,0.6476723343919711
2,10,0.55,0.9635302698760029,0.5322196616180725,0.6530020429629461
2,10,0.6,0.9634087041089229,0.5321566019636395,0.6594865712661147
2,11,0.1,0.9641380987114029,0.5438780540937181,0.6549284410931528
2,11,0.15,0.9635302698760029,0.541942314,0.6588425984314495
2,11,0.2,0.9634087041089229,0.5418792541380509,0.6639294105557191
2,11,0.25,0.9643812302455629,0.5440041734025843,0.6723951160828447
2,11,0.3,0.9635302698760029,0.5387014297343469,0.6495549941760057
2,11,0.35,0.9634087041089229,0.533777044,0.6514495439958929
2,11,0.4,0.9636518356430829,0.5322827212725056,0.6493787668589032
2,11,0.45,0.9638949671772429,0.5324088405813718,0.6371583578671485
2,11,0.5,0.9642596644784829,0.5358389036028083,0.6290353401590631
2,11,0.55,0.9636518356430829,0.5322827212725056,0.6285739643035646
2,11,0.6,0.9634087041089229,0.5256748338473651,0.6300873960099588
2,12,0.1,0.963165573,0.5368918087419791,0.6421479264839083
2,12,0.15,0.9634087041089229,0.5370179280508453,0.6500161577094354
2,12,0.2,0.9641380987114029,0.5390167280065123,0.6433549774450267
2,12,0.25,0.9635302698760029,0.5322196616180725,0.6482770276439087
